City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
280,Lubao,PH,14.9167,120.55,80.62,89,99,3.56,overcast clouds
281,San Luis,AR,-33.295,-66.3356,54.81,57,99,16.44,overcast clouds
282,Jambi,ID,-1.6,103.6167,74.88,92,36,2.26,scattered clouds
283,Muromtsevo,RU,56.3724,75.2418,38.52,94,100,11.05,overcast clouds
284,Pingliang,CN,35.5392,106.6861,61.92,34,1,6.35,clear sky
285,Kutum,SD,14.2,24.6667,85.12,33,86,7.02,overcast clouds
286,Fort Nelson,CA,58.8053,-122.7002,44.19,87,20,5.75,few clouds
287,Rio Grande,BR,-32.035,-52.0986,68.11,95,99,6.13,moderate rain
288,Dapaong,TG,10.8639,0.205,83.73,61,46,4.38,scattered clouds
289,Lasa,IT,46.6166,10.7002,63.48,92,98,1.74,overcast clouds
290,Coquimbo,CL,-29.9533,-71.3436,60.53,67,0,14.97,clear sky
291,Udachnyy,RU,66.4167,112.4,33.57,79,99,5.82,overcast clouds
292,Zhanakorgan,KZ,43.9098,67.2495,61.92,16,62,14.74,broken clouds
293,Morant Bay,JM,17.8815,-76.4093,87.42,72,61,5.91,broken clouds
294,Provideniya,RU,64.3833,-173.3,34.86,62,100,3.71,overcast clouds
295,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,75,14.97,broken clouds
296,Clyde River,CA,70.4692,-68.5914,32.23,74,20,21.85,squalls
297,Sayyan,YE,15.1718,44.3244,69.46,23,54,3.44,broken clouds
298,Korem,ET,12.5058,39.5228,60.21,48,11,4.65,few clouds
299,Karratha,AU,-20.7377,116.8463,80.8,18,87,27.69,overcast clouds
300,Okhotsk,RU,59.3833,143.3,43.41,72,63,14.63,broken clouds
301,Papar,MY,5.7333,115.9333,77.0,87,99,3.62,moderate rain
302,Erenhot,CN,43.6475,111.9767,57.87,63,83,11.12,broken clouds
303,Khani,GE,41.9563,42.9566,56.77,90,29,5.14,scattered clouds
304,Paramirim,BR,-13.4425,-42.2389,94.55,14,78,14.5,broken clouds
305,Landeck,AT,47.1301,10.5636,54.75,96,100,3.27,overcast clouds
